City	FAA	IATA	ICAO	Airport	Role	Enplanements
Vernal	VEL	VEL	KVEL	Vernal Regional Airport (was Vernal-Uintah Co. Airport)	P-N	10,658
Anchorage	MRI	MRI	PAMR	Merrill Field	P-N	10,478
Pueblo	PUB	PUB	KPUB	Pueblo Memorial Airport	P-N	10,459
Lebanon	LEB	LEB	KLEB	Lebanon Municipal Airport	P-N	10,360
Lewisburg	LWB	LWB	KLWB	Greenbrier Valley Airport	P-N	10,359
Prescott	PRC	PRC	KPRC	Prescott Municipal Airport (Ernest A. Love Field)	P-N	10,337
Provincetown	PVC	PVC	KPVC	Provincetown Municipal Airport	P-N	10,316
Vero Beach	VRB	VRB	KVRB	Vero Beach Regional Airport	P-N	10,314
Bedford	BED	BED	KBED	Hanscom Field / Hanscom Air Force Base	P-N	10,194
Eastsound	ORS	ESD	KORS	Orcas Island Airport	P-N	10,101
Sidney	SDY	SDY	KSDY	Sidney-Richland Regional Airport	P-N	10,055
Valdez	VDZ	VDZ	PAVD	Valdez Airport (Pioneer Field)	P-N	10,050
West Yellowstone	WYS	WYS	KWYS	Yellowstone Airport	P-N	8,200
