City	FAA	IATA	ICAO	Airport	Role	Enplanements
Rockford	RFD	RFD	KRFD	Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford)	P-N	106,710
Bakersfield	BFL	BFL	KBFL	Meadows Field	P-N	105,104
Huntington	HTS	HTS	KHTS	Tri-State Airport (Milton J. Ferguson Field)	P-N	101,701
Hayden	HDN	HDN	KHDN	Yampa Valley Airport (Yampa Valley Regional)	P-N	100,079
La Crosse	LSE	LSE	KLSE	La Crosse Regional Airport	P-N	99,651
Ithaca	ITH	ITH	KITH	Ithaca Tompkins International Airport	P-N	99,070
Stockton	SCK	SCK	KSCK	Stockton Metropolitan Airport	P-N	98,908
Laredo	LRD	LRD	KLRD	Laredo International Airport	P-N	95,858
Erie	ERI	ERI	KERI	Erie International Airport (Tom Ridge Field)	P-N	95,342
Kenai	ENA	ENA	PAEN	Kenai Municipal Airport	P-N	93,889
Hailey / Sun Valley	SUN	SUN	KSUN	Friedman Memorial Airport	P-N	93,280
Portsmouth	PSM	PSM	KPSM	Portsmouth International Airport at Pease	P-N	92,836
Ponce	PSE	PSE	TJPS	Mercedita Airport	P-N	91,966
Sitka	SIT	SIT	PASI	Sitka Rocky Gutierrez Airport	P-N	87,119
Casper	CPR	CPR	KCPR	Casper–Natrona County International Airport	P-N	86,905
Fort Smith	FSM	FSM	KFSM	Fort Smith Regional Airport	P-N	86,793
Lynchburg	LYH	LYH	KLYH	Lynchburg Regional Airport (Preston Glenn Field)	P-N	83,392
Kodiak	ADQ	ADQ	PADQ	Kodiak Airport (Benny Benson State Airport)	P-N	81,652
Provo	PVU	PVU	KPVU	Provo Municipal Airport	P-N	80,106
Yuma	NYL	YUM	KNYL	Yuma International Airport / MCAS Yuma	P-N	79,731
Kaunakakai, Molokai	MKK	MKK	PHMK	Molokai Airport (Hoolehua Airport)	P-N	79,336
College Station	CLL	CLL	KCLL	Easterwood Field	P-N	79,309
Abilene	ABI	ABI	KABI	Abilene Regional Airport	P-N	77,229
Pago Pago, Tutuila	PPG	PPG	NSTU	Pago Pago International Airport	P-N	74,495
Manhattan	MHK	MHK	KMHK	Manhattan Regional Airport	P-N	72,883
Worcester	ORH	ORH	KORH	Worcester Regional Airport	P-N	71,631
Grand Forks	GFK	GFK	KGFK	Grand Forks International Airport	P-N	69,800
Arcata/Eureka	ACV	ACV	KACV	California Redwood Coast–Humboldt County Airport	P-N	69,575
Yakima	YKM	YKM	KYKM	Yakima Air Terminal (McAllister Field)	P-N	69,510
Kotzebue	OTZ	OTZ	PAOT	Ralph Wien Memorial Airport	P-N	69,070
Flagstaff	FLG	FLG	KFLG	Flagstaff Pulliam Airport	P-N	67,793
Pullman / Moscow, Idaho	PUW	PUW	KPUW	Pullman–Moscow Regional Airport	P-N	66,669
Wenatchee	EAT	EAT	KEAT	Pangborn Memorial Airport	P-N	64,528
Salisbury	SBY	SBY	KSBY	Salisbury–Ocean City–Wicomico Regional Airport	P-N	64,393
Nome	OME	OME	PAOM	Nome Airport	P-N	64,122
Grand Island	GRI	GRI	KGRI	Central Nebraska Regional Airport	P-N	63,298
Lake Charles	LCH	LCH	KLCH	Lake Charles Regional Airport	P-N	58,122
Lewiston	LWS	LWS	KLWS	Lewiston–Nez Perce County Airport	P-N	57,957
Waco	ACT	ACT	KACT	Waco Regional Airport	P-N	57,344
Roswell	ROW	ROW	KROW	Roswell Air Center	P-N	56,632
San Angelo	SJT	SJT	KSJT	San Angelo Regional Airport (Mathis Field)	P-N	55,301
Marquette	SAW	MQT	KSAW	Sawyer International Airport	P-N	53,558
Vineyard Haven	MVY	MVY	KMVY	Martha's Vineyard Airport	P-N	52,605
Greenville	PGV	PGV	KPGV	Pitt–Greenville Airport	P-N	51,599
Walla Walla	ALW	ALW	KALW	Walla Walla Regional Airport	P-N	49,527
Columbus	CSG	CSG	KCSG	Columbus Airport	P-N	49,354
Tyler	TYR	TYR	KTYR	Tyler Pounds Regional Airport	P-N	48,532
Lawton	LAW	LAW	KLAW	Lawton–Fort Sill Regional Airport	P-N	48,086
Twin Falls	TWF	TWF	KTWF	Magic Valley Regional Airport (Joslin Field)	P-N	47,084
Homer	HOM	HOM	PAHO	Homer Airport	P-N	46,867
Williston	XWA	XWA	KXWA	Williston Basin International Airport	P-N	46,577
Utqiaġvik (Barrow)	BRW	BRW	PABR	Wiley Post–Will Rogers Memorial Airport	P-N	46,450
Pocatello	PIH	PIH	KPIH	Pocatello Regional Airport	P-N	46,303
Columbus	GTR	GTR	KGTR	Golden Triangle Regional Airport	P-N	46,246
Sioux City	SUX	SUX	KSUX	Sioux Gateway Airport (Brig. General Bud Day Field)	P-N	44,779
Valdosta	VLD	VLD	KVLD	Valdosta Regional Airport	P-N	44,609
Florence	FLO	FLO	KFLO	Florence Regional Airport	P-N	44,333
King Salmon	AKN	AKN	PAKN	King Salmon Airport	P-N	44,131
Deadhorse	SCC	SCC	PASC	Deadhorse Airport (Prudhoe Bay Airport)	P-N	43,655
Redding	RDD	RDD	KRDD	Redding Municipal Airport	P-N	42,775
Lanai City, Lanai	LNY	LNY	PHNY	Lanai Airport	P-N	42,061
Brunswick	BQK	BQK	KBQK	Brunswick Golden Isles Airport	P-N	40,443
Joplin	JLN	JLN	KJLN	Joplin Regional Airport	P-N	40,013
Albany	ABY	ABY	KABY	Southwest Georgia Regional Airport	P-N	39,422
Cody	COD	COD	KCOD	Yellowstone Regional Airport	P-N	39,407
New Haven	HVN	HVN	KHVN	Tweed-New Haven Airport	P-N	38,991
Dubuque	DBQ	DBQ	KDBQ	Dubuque Regional Airport	P-N	38,831
Tinian Island	TNI	TIQ	PGWT	Tinian International Airport (West Tinian)	P-N	38,664
Wichita Falls	SPS	SPS	KSPS	Wichita Falls Municipal Airport / Sheppard Air Force Base	P-N	38,026
Texarkana	TXK	TXK	KTXK	Texarkana Regional Airport (Webb Field)	P-N	37,599
Dothan	DHN	DHN	KDHN	Dothan Regional Airport	P-N	37,047
Clarksburg	CKB	CKB	KCKB	North Central West Virginia Airport (was Harrison-Marion Regional)	P-N	36,917
Binghamton	BGM	BGM	KBGM	Greater Binghamton Airport (Edwin A. Link Field)	P-N	36,382
Hilton Head	HXD	HHH	KHXD	Hilton Head Airport	P-N	36,308
Gunnison	GUC	GUC	KGUC	Gunnison–Crested Butte Regional Airport	P-N	36,238
Dillingham	DLG	DLG	PADL	Dillingham Airport	P-N	34,496
Pierre	PIR	PIR	KPIR	Pierre Regional Airport	P-N	30,124
Bemidji	BJI	BJI	KBJI	Bemidji Regional Airport	P-N	30,081
Unalaska	DUT	DUT	PADU	Unalaska Airport (Tom Madsen/Dutch Harbor Airport)	P-N	29,229
Vieques	VQS	VQS	TJVQ	Antonio Rivera Rodríguez Airport	P-N	29,022
